id,subject,sender,body,expected_cues,vtriad_tactic
99,Expense Reimbursement Policy: Important Update,finance.updates@internationalinc.com,"Hello Colleagues, we have updated our expense reimbursement policy to reflect changes in our company's financial guidelines. The updated policy is attached to this email for your review. Please note that all expense reports submitted after March 15th will be subject to the new policy. If you have any questions or concerns, please reach out to the finance department for assistance.","['review attached policy', 'contact finance department']",danger
100,Software License Renewal: Important Deadline,it.notifications@unitedtechcorp.com,"Dear Team, this is a reminder that our software licenses are due for renewal by the end of the month. To avoid any disruptions to our operations, please review the attached document for the list of licenses that require renewal. If you have any questions or concerns, please do not hesitate to reach out to the IT department. Your prompt attention to this matter is greatly appreciated.","['review attached document', 'contact IT department']",visceral
101,Action Required: Password Expiration Notice,it.support@novaplexcorp.com,"Dear Team, as part of our ongoing effort to enhance security, we are reminding you that your current password will expire in 14 days. To avoid any disruption to your work, please log in to the self-service portal to update your credentials. If you have any questions or concerns, do not hesitate to reach out to the IT support team.","['password expiration', 'self-service portal']",visceral
102,Update to Company Travel Policy,hr.department@evergreeninc.com,"Hello Colleagues, as we continue to strive for excellence, we have revised our travel policy to better align with industry standards. The updated policy can be found on the company intranet under the HR section. Please take a moment to review the changes, which will be effective starting next quarter.","['travel policy update', 'company intranet']",tribal
103,Package Delivery Notification,logistics.team@paragonexpress.com,"Dear Employees, we have been notified by our shipping partner that a package addressed to our office is pending delivery. To ensure timely receipt, please confirm your availability to receive the package by responding to this email. The package details are as follows: tracking number #PE123456.","['package delivery', 'tracking number']",danger
104,Invoice for Recent Software Purchase,finance.department@ascendtech.com,"Hello Team, this is a reminder that the invoice for the recent software purchase is now available for review and payment. The invoice details are attached to this email for your reference. Please settle the payment by the due date to avoid any late fees.","['invoice', 'payment due date']",danger
105,Shared Document: Quarterly Sales Report,sales.team@pinnaclecorp.com,"Dear Colleagues, the quarterly sales report is now available for your review. The report has been uploaded to our cloud storage and can be accessed through the following link: https://cloud.pinnaclecorp.com/salesreport. Please note that the report contains sensitive information and should not be shared externally.","['quarterly sales report', 'cloud storage']",tribal
106,Account Verification for New Employees,hr.support@omnico.com,"Hello New Team Members, as part of our onboarding process, we require all new employees to verify their account information. Please click on the link provided to confirm your details: https://omnico.com/verify. This will ensure that you receive all necessary company communications and have access to our internal systems.","['account verification', 'onboarding process']",visceral
107,Payroll Update: Direct Deposit Information,payroll.department@excelsiorinc.com,"Dear Employees, we are writing to inform you that our payroll system has been updated to reflect changes in direct deposit information. Please review your current direct deposit details and update them if necessary to ensure timely and accurate payment.","['payroll update', 'direct deposit']",tribal
108,IT Security Awareness Training,it.security@proteancorp.com,"Hello Team, as part of our ongoing effort to enhance IT security, we are launching a mandatory security awareness training program. The training will cover topics such as phishing, password management, and data protection. You will receive an invitation to join the training session via email.","['security awareness training', 'IT security']",danger
109,Cloud Storage Migration Notification,it.infrastructure@navitech.com,"Dear Colleagues, we are migrating our cloud storage to a new platform to improve performance and security. During this transition, you may experience temporary disruptions to access. We apologize for any inconvenience and appreciate your patience as we work to complete the migration.","['cloud storage migration', 'temporary disruptions']",visceral
110,Updated Employee Handbook,hr.policy@luminatecorp.com,"Hello Team, we are pleased to announce the release of our updated employee handbook, which reflects changes in company policies and procedures. The handbook is available on the company intranet and provides valuable information on benefits, code of conduct, and more. We encourage you to review the updated handbook and reach out to HR with any questions.","['updated employee handbook', 'company intranet']",tribal
111,Overdue Invoice for Q2 Services,accounts.payable@easternunioncorp.com,"Dear Team, this is a reminder that our company has an outstanding invoice for Q2 services rendered by NovaTech Inc. The total amount due is $10,500. Please settle this payment by the end of the week to avoid any late fees. You can find the invoice details on our shared drive. If you have any questions, feel free to reach out to me directly.","['invoice', 'payment', 'late fees']",visceral
112,New Cloud Storage Policy,it.support@continentalcorp.com,"As part of our ongoing effort to enhance data security, we are introducing a new cloud storage policy. All employees are required to migrate their files to the new platform by the end of the month. You can access the migration guide on our company's intranet. If you need assistance, please don't hesitate to contact the IT department.","['cloud storage', 'data security', 'migration guide']",tribal
113,Security Alert: Unusual Sign-in Activity,security.team@pacificorp.com,"We have detected unusual sign-in activity on your account from an unknown location. As a precautionary measure, we recommend that you change your password immediately. You can find the password reset instructions on our company's website. If you have any concerns, please contact the security team directly.","['security alert', 'unusual activity', 'password reset']",danger
114,Benefits Enrollment: Action Required,hr.benefits@unitedinc.com,"It's time to enroll in our company's benefits program. Please review the available options and select your preferences by the end of the week. You can access the enrollment portal on our company's intranet. If you have any questions, feel free to reach out to the HR department.","['benefits enrollment', 'action required', 'enrollment portal']",tribal
115,Software License Renewal: Immediate Attention Required,it.licensing@globaltechcorp.com,"Our company's software license is due for renewal. To avoid any disruption to our operations, please settle the renewal fee by the end of the day. You can find the payment details on our company's website. If you have any questions, please contact the IT licensing team directly.","['software license', 'renewal fee', 'immediate attention']",danger
116,Tax Form: Action Required,finance.tax@americaninc.com,"As part of our company's tax compliance, we require all employees to complete a tax form. Please download the form from our company's intranet and return it to the finance department by the end of the week. If you have any questions, feel free to reach out to us directly.","['tax form', 'action required', 'finance department']",tribal
117,Shared Document: Confidentiality Agreement,legal.team@europeanunioncorp.com,"We have uploaded a confidential document to our shared drive, which requires your review and signature. Please access the document and sign the confidentiality agreement by the end of the day. If you have any questions, please contact the legal team directly.","['shared document', 'confidentiality agreement', 'signature']",danger
118,Invoice Payment: Payment Method Update,accounts.receiveable@asiancorp.com,"We are updating our payment method for invoices. Please update your records to reflect the new payment details. You can find the updated information on our company's website. If you have any questions, feel free to reach out to the accounts receivable team.","['invoice payment', 'payment method', 'update']",visceral
119,Security Update: Mandatory Training,security.training@midwestcorp.com,"As part of our ongoing effort to enhance security awareness, we are requiring all employees to complete a mandatory training program. Please access the training portal on our company's intranet and complete the program by the end of the week. If you have any questions, please contact the security team directly.","['security update', 'mandatory training', 'training portal']",tribal
120,Cloud Storage Migration: Assistance Available,it.support@southerncorp.com,"We are migrating our cloud storage to a new platform. If you need assistance with the migration process, please don't hesitate to contact the IT support team. We are available to provide guidance and support throughout the migration period.","['cloud storage', 'migration', 'assistance']",tribal
